"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2022","15,081.0","15,035.9","15,190.7","14,785.2","","0.30%"
"05/19/2022","15,035.9","15,044.5","15,179.3","14,901.0","","-0.06%"
"05/18/2022","15,044.5","15,541.9","15,541.9","14,997.5","","-3.20%"
"05/17/2022","15,541.9","15,259.8","15,544.5","15,259.8","","1.85%"
"05/16/2022","15,259.8","15,257.4","15,374.1","15,150.9","","0.02%"
"05/13/2022","15,257.4","14,931.1","15,304.2","14,931.1","","2.19%"
"05/12/2022","14,931.1","14,902.1","15,007.2","14,695.7","","0.19%"
"05/11/2022","14,902.1","15,025.7","15,290.6","14,887.6","","-0.82%"
"05/10/2022","15,025.7","15,057.9","15,286.4","14,855.6","","-0.21%"
"05/09/2022","15,057.9","15,566.6","15,566.6","15,006.0","","-3.27%"
"05/06/2022","15,566.6","15,652.6","15,652.6","15,360.2","","-0.55%"
"05/05/2022","15,652.6","16,119.6","16,119.6","15,516.0","","-2.90%"
"05/04/2022","16,119.6","15,729.5","16,139.7","15,650.6","","2.48%"
"05/03/2022","15,729.5","15,609.3","15,818.7","15,609.3","","0.77%"
"05/02/2022","15,609.3","15,615.2","15,698.5","15,324.7","","-0.04%"
"04/29/2022","15,615.2","16,032.7","16,053.3","15,593.2","","-2.60%"
"04/28/2022","16,032.7","15,741.8","16,095.7","15,706.0","","1.85%"
"04/27/2022","15,741.8","15,694.2","15,887.7","15,656.1","","0.30%"
"04/26/2022","15,694.2","16,054.8","16,054.8","15,694.2","","-2.25%"
"04/25/2022","16,054.8","16,056.9","16,079.2","15,708.9","","-0.01%"
"04/22/2022","16,056.9","16,499.3","16,499.3","16,047.5","","-2.68%"
"04/21/2022","16,499.3","16,761.3","16,882.6","16,472.2","","-1.56%"
"04/20/2022","16,761.3","16,658.9","16,835.7","16,658.9","","0.61%"
"04/19/2022","16,658.9","16,466.2","16,685.9","16,466.2","","1.17%"
"04/18/2022","16,466.2","16,511.5","16,546.4","16,407.4","","-0.27%"
"04/14/2022","16,511.5","16,614.8","16,680.2","16,508.3","","-0.62%"
"04/13/2022","16,614.8","16,466.0","16,627.9","16,466.0","","0.90%"
"04/12/2022","16,466.0","16,534.2","16,693.5","16,419.1","","-0.41%"
"04/11/2022","16,534.2","16,690.0","16,690.0","16,519.9","","-0.93%"
"04/08/2022","16,690.0","16,631.5","16,775.6","16,616.4","","0.35%"
"04/07/2022","16,631.5","16,587.1","16,690.4","16,449.8","","0.27%"
"04/06/2022","16,587.1","16,645.0","16,645.0","16,472.7","","-0.35%"
"04/05/2022","16,645.0","16,830.9","16,889.4","16,612.6","","-1.10%"
"04/04/2022","16,829.8","16,787.8","16,841.6","16,735.9","","0.25%"
"04/01/2022","16,787.8","16,670.9","16,797.6","16,652.7","","0.70%"
"03/31/2022","16,670.9","16,932.8","16,932.8","16,670.8","","-1.55%"
"03/30/2022","16,932.8","17,014.8","17,031.7","16,858.7","","-0.48%"
"03/29/2022","17,014.8","16,798.7","17,034.9","16,798.7","","1.29%"
"03/28/2022","16,798.7","16,792.8","16,798.7","16,640.1","","0.04%"
"03/25/2022","16,792.8","16,701.8","16,794.2","16,669.8","","0.54%"
"03/24/2022","16,701.8","16,558.5","16,702.2","16,558.5","","0.87%"
"03/23/2022","16,558.5","16,735.5","16,735.5","16,557.6","","-1.06%"
"03/22/2022","16,735.5","16,606.7","16,768.7","16,606.7","","0.78%"
"03/21/2022","16,606.7","16,612.6","16,694.7","16,515.0","","-0.04%"
"03/18/2022","16,612.6","16,483.6","16,616.0","16,412.5","","0.78%"
"03/17/2022","16,483.6","16,261.5","16,483.7","16,212.6","","1.37%"
"03/16/2022","16,261.5","15,895.7","16,262.5","15,895.7","","2.30%"
"03/15/2022","15,895.7","15,694.4","15,914.9","15,694.4","","1.28%"
"03/14/2022","15,694.4","15,753.7","15,917.9","15,635.8","","-0.38%"
"03/11/2022","15,753.7","15,929.6","16,028.2","15,747.6","","-1.10%"
"03/10/2022","15,929.6","15,977.5","15,977.5","15,761.9","","-0.30%"
"03/09/2022","15,977.5","15,625.9","16,054.8","15,625.9","","2.25%"
"03/08/2022","15,625.9","15,708.2","15,949.0","15,621.8","","-0.52%"
"03/07/2022","15,708.2","16,129.7","16,129.7","15,704.2","","-2.61%"
"03/04/2022","16,129.7","16,287.5","16,287.5","15,954.2","","-0.97%"
"03/03/2022","16,287.5","16,380.9","16,434.9","16,185.3","","-0.57%"
"03/02/2022","16,380.9","16,069.2","16,435.0","16,069.2","","1.94%"
"03/01/2022","16,069.2","16,313.9","16,351.3","15,986.1","","-1.50%"
"02/28/2022","16,313.9","16,428.0","16,428.0","16,137.0","","-0.69%"
"02/25/2022","16,428.0","15,996.0","16,432.8","15,996.0","","2.70%"
"02/24/2022","15,996.0","16,019.6","16,020.0","15,571.4","","-0.15%"
"02/23/2022","16,019.6","16,215.6","16,358.9","15,998.3","","-1.21%"
"02/22/2022","16,215.6","16,392.3","16,406.5","16,099.0","","-1.08%"
"02/18/2022","16,392.3","16,492.0","16,560.1","16,333.5","","-0.60%"
"02/17/2022","16,492.0","16,770.4","16,770.4","16,462.2","","-1.66%"
"02/16/2022","16,770.4","16,745.8","16,813.0","16,658.3","","0.15%"
"02/15/2022","16,745.8","16,531.3","16,757.4","16,531.3","","1.30%"
"02/14/2022","16,531.3","16,665.0","16,665.0","16,422.6","","-0.80%"
"02/11/2022","16,665.0","16,856.0","16,969.7","16,600.3","","-1.13%"
"02/10/2022","16,856.0","17,069.7","17,160.3","16,790.8","","-1.25%"
"02/09/2022","17,069.7","16,853.7","17,083.4","16,853.7","","1.28%"
"02/08/2022","16,853.7","16,722.8","16,880.3","16,685.2","","0.78%"
"02/07/2022","16,722.8","16,701.6","16,826.7","16,684.9","","0.13%"
"02/04/2022","16,701.6","16,677.4","16,817.3","16,552.4","","0.15%"
"02/03/2022","16,677.4","16,904.5","16,904.5","16,661.6","","-1.34%"
"02/02/2022","16,904.5","16,829.7","16,926.2","16,763.0","","0.44%"
"02/01/2022","16,829.7","16,659.8","16,840.6","16,606.2","","1.02%"
"01/31/2022","16,659.8","16,397.9","16,663.8","16,344.7","","1.60%"
"01/28/2022","16,397.9","16,152.1","16,400.0","15,998.7","","1.52%"
"01/27/2022","16,152.1","16,236.5","16,502.3","16,090.7","","-0.52%"
"01/26/2022","16,236.5","16,340.3","16,598.2","16,113.0","","-0.64%"
"01/25/2022","16,340.3","16,414.0","16,484.9","16,000.6","","-0.45%"
"01/24/2022","16,414.0","16,397.3","16,439.4","15,816.1","","0.10%"
"01/21/2022","16,397.3","16,663.8","16,683.4","16,363.0","","-1.60%"
"01/20/2022","16,663.8","16,819.0","17,045.3","16,648.8","","-0.92%"
"01/19/2022","16,819.0","16,950.9","17,059.2","16,814.8","","-0.78%"
"01/18/2022","16,950.9","17,219.1","17,219.1","16,895.3","","-1.56%"
"01/14/2022","17,219.1","17,259.0","17,259.0","17,056.7","","-0.23%"
"01/13/2022","17,259.0","17,353.8","17,442.5","17,230.1","","-0.55%"
"01/12/2022","17,353.8","17,294.5","17,406.2","17,273.8","","0.34%"
"01/11/2022","17,294.5","17,119.6","17,298.0","17,053.0","","1.02%"
"01/10/2022","17,119.6","17,166.3","17,166.3","16,894.9","","-0.27%"
"01/07/2022","17,166.3","17,156.5","17,222.9","17,107.3","","0.06%"
"01/06/2022","17,156.5","17,112.6","17,240.4","17,049.0","","0.26%"
"01/05/2022","17,112.6","17,336.8","17,415.6","17,112.0","","-1.29%"
"01/04/2022","17,336.8","17,226.1","17,377.4","17,226.1","","0.64%"
